scenario,scenario_display,sample_idx,target_region,target_region_idx,aggregate_type,method,mse,mae,crps,interval_score,ci_width,coverage
MI_1,MI Mild (μ=1.5),39,Inferior,1,Non-diseased Avg,MCMC,0.008715,,0.058721,0.673295,0.673295,1.000000
MI_1,MI Mild (μ=1.5),40,Lateral,2,Overall Avg,Point Estimate,0.003648,0.055078,0.055078,,0.000000,
MI_1,MI Mild (μ=1.5),40,Lateral,2,Overall Avg,MCMC,0.043326,,0.106056,0.798999,0.798999,1.000000
MI_1,MI Mild (μ=1.5),40,Lateral,2,Diseased Avg,Point Estimate,0.003910,0.061414,0.061414,,0.000000,
MI_1,MI Mild (μ=1.5),40,Lateral,2,Diseased Avg,MCMC,0.010883,,0.062729,0.599020,0.599020,1.000000
MI_1,MI Mild (μ=1.5),40,Lateral,2,Non-diseased Avg,Point Estimate,0.003583,0.053493,0.053493,,0.000000,
MI_1,MI Mild (μ=1.5),40,Lateral,2,Non-diseased Avg,MCMC,0.051436,,0.116888,0.848994,0.848994,1.000000
MI_1,MI Mild (μ=1.5),41,Lateral,2,Overall Avg,Point Estimate,0.007198,0.055879,0.055879,,0.000000,
MI_1,MI Mild (μ=1.5),41,Lateral,2,Overall Avg,MCMC,0.009474,,0.069965,0.892453,0.892453,1.000000
MI_1,MI Mild (μ=1.5),41,Lateral,2,Diseased Avg,Point Estimate,0.002522,0.047149,0.047149,,0.000000,
MI_1,MI Mild (μ=1.5),41,Lateral,2,Diseased Avg,MCMC,0.004199,,0.069031,1.019965,1.019965,1.000000
MI_1,MI Mild (μ=1.5),41,Lateral,2,Non-diseased Avg,Point Estimate,0.008367,0.058061,0.058061,,0.000000,
MI_1,MI Mild (μ=1.5),41,Lateral,2,Non-diseased Avg,MCMC,0.010793,,0.070199,0.860575,0.860575,1.000000
MI_1,MI Mild (μ=1.5),42,Lateral,2,Overall Avg,Point Estimate,0.007558,0.072319,0.072319,,0.000000,
MI_1,MI Mild (μ=1.5),42,Lateral,2,Overall Avg,MCMC,0.009205,,0.066155,0.835379,0.835379,1.000000
MI_1,MI Mild (μ=1.5),42,Lateral,2,Diseased Avg,Point Estimate,0.002650,0.051200,0.051200,,0.000000,
MI_1,MI Mild (μ=1.5),42,Lateral,2,Diseased Avg,MCMC,0.000478,,0.052327,0.873820,0.873820,1.000000
MI_1,MI Mild (μ=1.5),42,Lateral,2,Non-diseased Avg,Point Estimate,0.008785,0.077599,0.077599,,0.000000,
MI_1,MI Mild (μ=1.5),42,Lateral,2,Non-diseased Avg,MCMC,0.011387,,0.069612,0.825768,0.825768,1.000000
MI_1,MI Mild (μ=1.5),43,Lateral,2,Overall Avg,Point Estimate,0.021021,0.117676,0.117676,,0.000000,
MI_1,MI Mild (μ=1.5),43,Lateral,2,Overall Avg,MCMC,0.018378,,0.080500,0.882043,0.882043,1.000000
MI_1,MI Mild (μ=1.5),43,Lateral,2,Diseased Avg,Point Estimate,0.001824,0.040697,0.040697,,0.000000,
MI_1,MI Mild (μ=1.5),43,Lateral,2,Diseased Avg,MCMC,0.009159,,0.066638,0.816771,0.816771,1.000000
MI_1,MI Mild (μ=1.5),43,Lateral,2,Non-diseased Avg,Point Estimate,0.025820,0.136921,0.136921,,0.000000,
MI_1,MI Mild (μ=1.5),43,Lateral,2,Non-diseased Avg,MCMC,0.020682,,0.083966,0.898360,0.898360,1.000000
MI_1,MI Mild (μ=1.5),44,Lateral,2,Overall Avg,Point Estimate,0.009910,0.075734,0.075734,,0.000000,
MI_1,MI Mild (μ=1.5),44,Lateral,2,Overall Avg,MCMC,0.033994,,0.096050,0.801286,0.801286,1.000000
MI_1,MI Mild (μ=1.5),44,Lateral,2,Diseased Avg,Point Estimate,0.000368,0.019032,0.019032,,0.000000,
MI_1,MI Mild (μ=1.5),44,Lateral,2,Diseased Avg,MCMC,0.006472,,0.052984,0.572651,0.572651,1.000000
MI_1,MI Mild (μ=1.5),44,Lateral,2,Non-diseased Avg,Point Estimate,0.012296,0.089910,0.089910,,0.000000,
MI_1,MI Mild (μ=1.5),44,Lateral,2,Non-diseased Avg,MCMC,0.040874,,0.106817,0.858445,0.858445,1.000000
MI_1,MI Mild (μ=1.5),45,Lateral,2,Overall Avg,Point Estimate,0.004191,0.059916,0.059916,,0.000000,
MI_1,MI Mild (μ=1.5),45,Lateral,2,Overall Avg,MCMC,0.009778,,0.069093,0.879350,0.879350,1.000000
MI_1,MI Mild (μ=1.5),45,Lateral,2,Diseased Avg,Point Estimate,0.001775,0.041906,0.041906,,0.000000,
MI_1,MI Mild (μ=1.5),45,Lateral,2,Diseased Avg,MCMC,0.000733,,0.054023,0.868043,0.868043,1.000000
MI_1,MI Mild (μ=1.5),45,Lateral,2,Non-diseased Avg,Point Estimate,0.004795,0.064419,0.064419,,0.000000,
MI_1,MI Mild (μ=1.5),45,Lateral,2,Non-diseased Avg,MCMC,0.012039,,0.072860,0.882177,0.882177,1.000000
MI_1,MI Mild (μ=1.5),46,Lateral,2,Overall Avg,Point Estimate,0.001927,0.034327,0.034327,,0.000000,
MI_1,MI Mild (μ=1.5),46,Lateral,2,Overall Avg,MCMC,0.008224,,0.067551,0.901869,0.901869,1.000000
MI_1,MI Mild (μ=1.5),46,Lateral,2,Diseased Avg,Point Estimate,0.000453,0.020460,0.020460,,0.000000,
MI_1,MI Mild (μ=1.5),46,Lateral,2,Diseased Avg,MCMC,0.000512,,0.057448,0.985405,0.985405,1.000000
MI_1,MI Mild (μ=1.5),46,Lateral,2,Non-diseased Avg,Point Estimate,0.002296,0.037794,0.037794,,0.000000,
MI_1,MI Mild (μ=1.5),46,Lateral,2,Non-diseased Avg,MCMC,0.010152,,0.070077,0.880985,0.880985,1.000000
MI_1,MI Mild (μ=1.5),47,Lateral,2,Overall Avg,Point Estimate,0.001730,0.036507,0.036507,,0.000000,
MI_1,MI Mild (μ=1.5),47,Lateral,2,Overall Avg,MCMC,0.008060,,0.066134,0.900791,0.900791,1.000000
MI_1,MI Mild (μ=1.5),47,Lateral,2,Diseased Avg,Point Estimate,0.000770,0.025240,0.025240,,0.000000,
MI_1,MI Mild (μ=1.5),47,Lateral,2,Diseased Avg,MCMC,0.000182,,0.055872,0.947542,0.947542,1.000000
MI_1,MI Mild (μ=1.5),47,Lateral,2,Non-diseased Avg,Point Estimate,0.001970,0.039324,0.039324,,0.000000,
MI_1,MI Mild (μ=1.5),47,Lateral,2,Non-diseased Avg,MCMC,0.010029,,0.068700,0.889103,0.889103,1.000000
MI_1,MI Mild (μ=1.5),48,Lateral,2,Overall Avg,Point Estimate,0.037820,0.123786,0.123786,,0.000000,
MI_1,MI Mild (μ=1.5),48,Lateral,2,Overall Avg,MCMC,0.063783,,0.124577,0.774165,0.774165,1.000000
MI_1,MI Mild (μ=1.5),48,Lateral,2,Diseased Avg,Point Estimate,0.023561,0.153262,0.153262,,0.000000,
MI_1,MI Mild (μ=1.5),48,Lateral,2,Diseased Avg,MCMC,0.011363,,0.064266,0.532717,0.532717,1.000000
MI_1,MI Mild (μ=1.5),48,Lateral,2,Non-diseased Avg,Point Estimate,0.041385,0.116418,0.116418,,0.000000,
MI_1,MI Mild (μ=1.5),48,Lateral,2,Non-diseased Avg,MCMC,0.076888,,0.139655,0.834528,0.834528,1.000000
MI_1,MI Mild (μ=1.5),49,Lateral,2,Overall Avg,Point Estimate,0.025215,0.099611,0.099611,,0.000000,
MI_1,MI Mild (μ=1.5),49,Lateral,2,Overall Avg,MCMC,0.032717,,0.096778,0.819935,0.819935,1.000000
MI_1,MI Mild (μ=1.5),49,Lateral,2,Diseased Avg,Point Estimate,0.008259,0.090865,0.090865,,0.000000,
MI_1,MI Mild (μ=1.5),49,Lateral,2,Diseased Avg,MCMC,0.004062,,0.052294,0.673616,0.673616,1.000000
MI_1,MI Mild (μ=1.5),49,Lateral,2,Non-diseased Avg,Point Estimate,0.029454,0.101798,0.101798,,0.000000,
MI_1,MI Mild (μ=1.5),49,Lateral,2,Non-diseased Avg,MCMC,0.039881,,0.107899,0.856514,0.856514,1.000000
MI_1,MI Mild (μ=1.5),50,Lateral,2,Overall Avg,Point Estimate,0.001148,0.032211,0.032211,,0.000000,
MI_1,MI Mild (μ=1.5),50,Lateral,2,Overall Avg,MCMC,0.010720,,0.068981,0.859366,0.859366,1.000000
MI_1,MI Mild (μ=1.5),50,Lateral,2,Diseased Avg,Point Estimate,0.000626,0.023237,0.023237,,0.000000,
MI_1,MI Mild (μ=1.5),50,Lateral,2,Diseased Avg,MCMC,0.000783,,0.054410,0.869228,0.869228,1.000000
MI_1,MI Mild (μ=1.5),50,Lateral,2,Non-diseased Avg,Point Estimate,0.001278,0.034454,0.034454,,0.000000,
MI_1,MI Mild (μ=1.5),50,Lateral,2,Non-diseased Avg,MCMC,0.013204,,0.072624,0.856901,0.856901,1.000000
MI_1,MI Mild (μ=1.5),51,Lateral,2,Overall Avg,Point Estimate,0.008974,0.080912,0.080912,,0.000000,
MI_1,MI Mild (μ=1.5),51,Lateral,2,Overall Avg,MCMC,0.013787,,0.072398,0.861381,0.861381,1.000000
MI_1,MI Mild (μ=1.5),51,Lateral,2,Diseased Avg,Point Estimate,0.000821,0.028253,0.028253,,0.000000,
MI_1,MI Mild (μ=1.5),51,Lateral,2,Diseased Avg,MCMC,0.001097,,0.044417,0.686434,0.686434,1.000000
MI_1,MI Mild (μ=1.5),51,Lateral,2,Non-diseased Avg,Point Estimate,0.011012,0.094076,0.094076,,0.000000,
